date_post;open_price
10/10/2013;125.339996
11/10/2013;122.370003
14/10/2013;123.900002
15/10/2013;122.279999
16/10/2013;123.519997
17/10/2013;127.010002
18/10/2013;126.870003
21/10/2013;127.129997
22/10/2013;128.25
23/10/2013;128.550003
24/10/2013;129.410004
25/10/2013;129.529999
28/10/2013;130.410004
29/10/2013;130.160004
30/10/2013;130.830002
01/11/2013;126.860001
04/11/2013;127.18
05/11/2013;126.709999
06/11/2013;127.110001
07/11/2013;126.139999
08/11/2013;124.459999
11/11/2013;123.919998
12/11/2013;123.510002
13/11/2013;122.970001
14/11/2013;123.919998
15/11/2013;124.160004
18/11/2013;123.699997
19/11/2013;122.970001
20/11/2013;121.669998
21/11/2013;119.809998
22/11/2013;120.239998
25/11/2013;119.18
26/11/2013;119.839996
27/11/2013;120.489998
29/11/2013;120.669998
02/12/2013;119.199997
03/12/2013;117.580002
04/12/2013;118.330002
05/12/2013;118.199997
06/12/2013;118.860001
09/12/2013;118.989998
10/12/2013;122.139999
11/12/2013;121.489998
12/12/2013;118.610001
13/12/2013;118.889999
02/01/2014;117.93
03/01/2014;118.639999
06/01/2014;119.760002
07/01/2014;118.459999
08/01/2014;117.989998
09/01/2014;118.110001
10/01/2014;119.720001
13/01/2014;120.269997
14/01/2014;120.540001
15/01/2014;119.190002
16/01/2014;119.839996
17/01/2014;120.349998
21/01/2014;119.230003
22/01/2014;119.650002
23/01/2014;120.970001
24/01/2014;122.059998
27/01/2014;121.650002
28/01/2014;121.32
29/01/2014;122.190002
30/01/2014;119.669998
03/02/2014;120.470001
04/02/2014;120.410004
05/02/2014;121.760002
06/02/2014;121.379997
07/02/2014;121.239998
10/02/2014;122.800003
11/02/2014;123.379997
12/02/2014;124.400002
13/02/2014;124.699997
14/02/2014;126.989998
18/02/2014;127.419998
19/02/2014;127.260002
20/02/2014;126.75
21/02/2014;127.57
24/02/2014;128.509995
25/02/2014;128.619995
26/02/2014;128.490005
27/02/2014;128.399994
03/03/2014;130
04/03/2014;128.539993
05/03/2014;128.710007
06/03/2014;129.710007
07/03/2014;128.25
10/03/2014;128.880005
11/03/2014;130.009995
12/03/2014;131.559998
13/03/2014;131.690002
14/03/2014;133.679993
17/03/2014;132.729996
18/03/2014;130.389999
19/03/2014;129.550003
20/03/2014;127.779999
21/03/2014;129.039993
24/03/2014;126.870003
25/03/2014;126.440002
26/03/2014;126.269997
27/03/2014;125.059998
28/03/2014;124.230003
31/03/2014;124.519997
01/04/2014;123.709999
02/04/2014;124.410004
03/04/2014;123.75
04/04/2014;125.199997
07/04/2014;125.07
08/04/2014;126.339996
09/04/2014;125.459999
10/04/2014;126.949997
11/04/2014;127.040001
14/04/2014;127.800003
15/04/2014;124.790001
16/04/2014;125.370003
17/04/2014;125.379997
21/04/2014;124.07
22/04/2014;124.150002
23/04/2014;123.699997
25/04/2014;125.169998
28/04/2014;125.300003
29/04/2014;124.949997
01/05/2014;123.169998
02/05/2014;123.690002
05/05/2014;126.470001
06/05/2014;126.019997
07/05/2014;125.519997
08/05/2014;124.190002
09/05/2014;124.389999
12/05/2014;125.400002
13/05/2014;124.790001
14/05/2014;125.800003
15/05/2014;124.769997
16/05/2014;124.349998
19/05/2014;125.279999
20/05/2014;124.120003
21/05/2014;124.25
22/05/2014;125.139999
23/05/2014;124.599998
27/05/2014;122.980003
28/05/2014;121.470001
29/05/2014;120.779999
30/05/2014;120.760002
02/06/2014;119.93
03/06/2014;119.730003
04/06/2014;120.099998
05/06/2014;120.550003
06/06/2014;120.68
09/06/2014;120.790001
10/06/2014;121.290001
11/06/2014;121.510002
12/06/2014;121.919998
13/06/2014;122.57
16/06/2014;122.879997
17/06/2014;121.849998
18/06/2014;122.220001
19/06/2014;124.330002
20/06/2014;126.32
23/06/2014;126.650002
24/06/2014;127.220001
25/06/2014;126.779999
26/06/2014;126.529999
27/06/2014;126.879997
30/06/2014;126.529999
01/07/2014;127.989998
02/07/2014;127.760002
03/07/2014;126.790001
07/07/2014;126.629997
08/07/2014;127.290001
09/07/2014;127.540001
10/07/2014;129.110001
11/07/2014;128.410004
14/07/2014;125.5
15/07/2014;125.889999
16/07/2014;125.019997
17/07/2014;125.519997
18/07/2014;125.790001
21/07/2014;126.529999
22/07/2014;126.330002
23/07/2014;125.720001
24/07/2014;124.849998
25/07/2014;124.480003
28/07/2014;125.440002
29/07/2014;125.790001
30/07/2014;124.889999
31/07/2014;123.849998
01/08/2014;124.540001
04/08/2014;124.360001
05/08/2014;123.739998
06/08/2014;125.709999
07/08/2014;125.470001
08/08/2014;126.080002
11/08/2014;125.839996
12/08/2014;126.419998
13/08/2014;126.349998
14/08/2014;126.239998
18/08/2014;124.779999
19/08/2014;125
20/08/2014;124.82
21/08/2014;122.720001
22/08/2014;123.089996
25/08/2014;122.919998
26/08/2014;123.919998
27/08/2014;123.599998
28/08/2014;124.150002
29/08/2014;123.75
02/09/2014;121.970001
03/09/2014;121.699997
04/09/2014;122.480003
05/09/2014;121.830002
08/09/2014;121.580002
09/09/2014;120.57
10/09/2014;120.129997
11/09/2014;119.610001
12/09/2014;118.629997
15/09/2014;118.790001
16/09/2014;118.849998
17/09/2014;118.949997
18/09/2014;117.410004
19/09/2014;117.510002
22/09/2014;116.720001
23/09/2014;117.989998
24/09/2014;117.120003
